Application_mode,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Status
17,0,1,1,0,20,0,0.0,0,0.0,Dropout
15,0,0,1,0,19,6,14.0,6,13.666666666666666,Graduate
1,0,0,1,0,19,0,0.0,0,0.0,Dropout
17,0,1,0,0,20,6,13.428571428571429,5,12.4,Graduate
39,0,1,0,0,45,5,12.333333333333334,6,13.0,Graduate
39,1,1,1,0,50,5,11.857142857142858,5,11.5,Graduate
1,0,1,0,1,18,7,13.3,8,14.345,Graduate
18,0,0,1,0,22,0,0.0,0,0.0,Dropout
1,0,1,0,1,21,6,13.875,6,14.142857142857142,Graduate
1,1,0,0,0,18,5,11.4,2,13.5,Dropout
1,0,1,0,0,18,6,12.333333333333334,5,14.2,Graduate
1,0,1,0,1,18,7,13.214285714285714,7,13.214285714285714,Graduate
1,0,1,0,0,19,0,0.0,0,0.0,Dropout
53,0,1,0,1,21,6,10.571428571428571,5,11.0,Graduate
1,0,1,0,1,18,4,13.25,5,12.0,Graduate
1,0,1,0,0,20,5,13.2,0,0.0,Dropout
17,0,1,0,0,18,7,13.30625,8,14.545,Graduate
1,0,1,0,0,20,4,12.5,4,12.25,Graduate
1,0,1,0,1,21,0,0.0,0,0.0,Graduate
1,0,1,0,0,18,7,12.857142857142858,7,12.857142857142858,Graduate
1,0,1,0,1,19,6,13.375,6,12.285714285714286,Graduate
1,0,1,0,0,19,6,13.296666666666669,7,14.114285714285714,Graduate
17,0,1,0,0,21,6,11.375,6,13.285714285714286,Graduate
1,0,1,0,0,20,5,12.0,5,12.333333333333334,Graduate
51,0,1,1,0,20,6,12.833333333333334,4,13.4,Graduate
18,0,1,0,0,19,6,12.666666666666666,6,14.375,Graduate
1,0,1,1,0,34,5,12.4,5,13.428571428571429,Graduate
39,1,0,1,0,37,0,0.0,1,10.0,Dropout
39,0,1,1,0,43,0,0.0,0,0.0,Dropout
43,0,1,0,0,55,1,10.0,2,12.0,Dropout
39,0,1,0,0,39,5,11.0,5,11.6,Graduate
44,1,0,0,0,20,3,11.666666666666666,3,12.0,Dropout
